,joblinks
0,https://de.linkedin.com/jobs/view/marketing-analyst-paid-social-m-f-d-at-wayfair-3796171754?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=jifu%2FMBInSSz9D0uB%2BJU0A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,https://de.linkedin.com/jobs/view/duales-studium-e-commerce-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802361980?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=HVGz%2BEX5DJedYUt4qn8Lxg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,https://de.linkedin.com/jobs/view/referent-web-analyst-m-w-d-mit-fokus-marketing-attribution-at-tui-3746717080?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=nt6AD50wE%2BJsy1dqqomHrA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-f%C3%BCr-die-ee-krankenhaus-at-aok-systems-gmbh-3783797735?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=rbg%2BcIjM8G0FZ%2BgGdR%2FQZQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,https://de.linkedin.com/jobs/view/duales-studium-immobilienwirtschaft-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802371435?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=btqS4cfrIefh5%2Bk51BrXgg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3782265109?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=oCAGDvIDnYtshq3409%2F70g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,https://de.linkedin.com/jobs/view/duales-studium-betriebswirtschaftslehre-bank-b-a-mit-fokus-vertrieb-m-w-d-at-interhyp-gruppe-3746301416?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=8uxCEvJiq5T8M%2BiYshhJ9g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3782262436?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=JdWBPYaICgscQ19cxoOSGA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-sachversicherungs-haftpflichtsch%C3%A4den-in-berlin-at-bavariadirekt-3805304922?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=GRplO4bhQib2aL8jR5JC%2Fw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
9,https://de.linkedin.com/jobs/view/consultant-business-analyst-senior-bei-findic-w-m-d-at-zeb-consulting-3378324316?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=yZmgl6JRdxciKn9aUUjnQg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
10,https://de.linkedin.com/jobs/view/duales-studium-b-a-international-service-management-m-w-d-berlin-at-tesla-3735044548?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=t9DMkMK2X9wx1k39XfhMkg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
11,https://de.linkedin.com/jobs/view/business-analyst-in-data-migration-manager-in-sap-s-4hana-at-deutsche-bahn-3802858957?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=0wJ9cHLXVRid7AsxgpQ0ww%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
12,https://de.linkedin.com/jobs/view/business-analyst-controller-e-commerce-m-w-d-at-igefa-e-commerce-gmbh-co-kg-3798384932?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=BSKAXAoZM7TuctoQfNhhVw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
13,https://de.linkedin.com/jobs/view/data-analyst-power-bi-m-w-d-at-vielfaltmen%C3%BC-gmbh-3799306530?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=POW6YdjjQ87nJDDvI4A2Pg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
14,https://de.linkedin.com/jobs/view/duales-studium-bwl-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802373231?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=IWL9zLX7kDvxc%2F3QRgimAg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
15,https://de.linkedin.com/jobs/view/junior-group-performance-marketing-analyst-at-caseking-gmbh-3805537070?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=vxETH%2B3CyJ14o%2B3zdlOtaQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
16,https://de.linkedin.com/jobs/view/duales-studium-wirtschaftspr%C3%BCfung-b-a-2024-at-deloitte-3672941432?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=frzmNPjh0tdw1htzz6v3ig%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
17,https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3767072288?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=fH1nsgy%2FdT1YuUoqoawFaA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
18,https://de.linkedin.com/jobs/view/business-analyst-schwerpunkt-military-m-w-d-at-bwi-gmbh-3805599625?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=CfOfE04D3T7TF3%2B%2BkGnopg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
19,https://de.linkedin.com/jobs/view/senior-marketing-data-analyst-at-airhelp-3795124343?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=yOJWU4AosJ0G%2F%2Fr5c%2BP7ig%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
20,https://de.linkedin.com/jobs/view/duales-studium-kindheitsp%C3%A4dagogik-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802372051?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=mtVCdX1HP9Peic6dSdc6OA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
21,https://de.linkedin.com/jobs/view/market-shopper-data-analyst-m-w-d-at-heineken-deutschland-gmbh-3789991922?refId=5tN93TnLSHp2OvEldz3MCQ%3D%3D&trackingId=RzETLQz6g1uk16yS0IJ7Ew%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
22,https://de.linkedin.com/jobs/view/hungarian-speaking-social-media-analyst-gn-at-grafton-recruitment-3779009009?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=fp9SD%2FmXr8AmhnhJgb0EEQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
23,https://de.linkedin.com/jobs/view/duales-studium-tourismusmanagement-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802366622?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=trtXN3nPaPQdhn1HYBQafw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
24,https://de.linkedin.com/jobs/view/business-intelligence-data-analyst-at-maximon-the-longevity-company-builder-3788415610?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=LroaDxemR%2BLwc%2BOYjFyPBw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
25,https://de.linkedin.com/jobs/view/senior-data-analyst-all-genders-acquisition-at-urban-sports-club-3803100691?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=8%2FyXMMb%2Bi1bZmnk5UJchJA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
26,https://de.linkedin.com/jobs/view/duales-studium-tourismusmanagement-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802370183?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=t630NPWOc21S6lYmPg6ZJw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
27,https://de.linkedin.com/jobs/view/business-analyst-datenmigration-all-genders-f%C3%BCr-die-adesso-insurance-solutions-gmbh-at-adesso-insurance-solutions-gmbh-3741942819?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=w8zDWRL7Xh5wugqoR1VD9Q%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
28,https://de.linkedin.com/jobs/view/social-media-analyst-w-m-d-at-tlgg-agency-3804679276?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=GdEMsgnw%2BfVhVwwHpbeZsA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
