,company,title
0,Wayfair,Marketing Analyst - Paid Social (M/F/D)
1,IU International University of Applied Sciences,Duales Studium E-Commerce (B.A.) am Campus oder online
2,TUI,Referent Web Analyst (m/w/d) mit Fokus Marketing & Attribution
3,AOK Systems GmbH,Business Analyst (m/w/d) für die EE Krankenhaus
4,IU International University of Applied Sciences,Duales Studium Immobilienwirtschaft (B.A.) am Campus oder online
5,]init[ - Services for the eSociety,Business Analyst (m/w/d)
6,Interhyp Gruppe,Duales Studium Betriebswirtschaftslehre / Bank B.A. mit Fokus Vertrieb (m/w/d)
7,]init[ - Services for the eSociety,Business Analyst (m/w/d)
8,Ing.ges. BBP Bauconsulting GmbH,Projektingenieur Gebäude- und Haustechnik / TGA HLS (m/w/d) Generalplaner BA-23
9,BavariaDirekt,Business Analyst (m/w/d) Sachversicherungs- & Haftpflichtschäden in Berlin
10,zeb consulting,Consultant / Business Analyst (Senior) bei findic (w|m|d)
11,Tesla,Duales Studium B.A. International Service Management (m/w/d) - Berlin
12,Deutsche Bahn,Business Analyst:in / Data Migration Manager:in SAP S/4HANA
13,igefa E-Commerce GmbH & Co. KG,Business Analyst / Controller - E-Commerce (m/w/d)
14,VielfaltMenü GmbH,Data Analyst Power BI (m/w/d)
15,IU International University of Applied Sciences,Duales Studium BWL (B.A.) am Campus oder online
16,Caseking GmbH,Junior Group Performance Marketing Analyst
17,Deloitte,Duales Studium Wirtschaftsprüfung (B.A.) 2024
18,ImmoScout24,Business Data Analyst - Sales & Customer Temporary Position (d/f/m)
19,Ing.ges. BBP Bauconsulting GmbH,Berufseinsteiger / Absolvent / Junior Ingenieur / Planer TGA HLS (m/w/d) bei Generalplaner BA-20
20,BWI GmbH,Business Analyst Schwerpunkt Military (m/w/d)
21,AirHelp,Senior Marketing Data Analyst
22,Ing.ges. BBP Bauconsulting GmbH,Ingenieur Fachplaner TGA Heizung u. Lüftung (m/w/d) Generalplaner BA-22
23,IU International University of Applied Sciences,Duales Studium Kindheitspädagogik (B.A.) am Campus oder online
24,Heineken Deutschland GmbH,Market & Shopper Data Analyst (m/w/d)
25,Grafton Recruitment,Hungarian speaking Social Media Analyst (gn)
26,IU International University of Applied Sciences,Duales Studium Tourismusmanagement (B.A.) am Campus oder online
27,Maximon - The Longevity Company Builder,Business Intelligence Data Analyst
28,Urban Sports Club,Senior Data Analyst (all genders) - Acquisition
29,IU International University of Applied Sciences,Duales Studium Tourismusmanagement (B.A.) am Campus oder online
30,adesso insurance solutions GmbH,Business Analyst Datenmigration (all genders) für die adesso insurance solutions GmbH
31,TLGG Agency,Social Media Analyst (w/m/d)
32,DIGITALL,Dynamics 365 Business Analyst
33,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax)
34,MediaMarktSaturn,Business Analyst (m/w/d)
35,Vodafone,"Duales Studium B.A. BWL, mit Schwerpunkt Business Sales in Berlin (2024)"
36,InterEx Group,D365 F&O Business Analyst (SCM)
37,mediaworx berlin AG,Business Analyst (m/w/d) - remote
38,KPMG Deutschland,Praktikum (w/m/d) Business Research & Analysis
39,IU International University of Applied Sciences,Duales Studium Soziale Arbeit (B.A.) am Campus oder online
40,Michael Page,Business Analyst (m/w/d)
41,IU International University of Applied Sciences,Duales Studium Kindheitspädagogik (B.A.) am Campus oder online
42,GAS German Aviation Service,BAS Berlin Aviation Service GmbH sucht Mitarbeiter in der Passagierabfertigung - Check In Agent - (m/w/d) - ---In Teilzeit (60 Stunden) oder als Minijob ----
43,ImmoScout24,Business Analyst in Sales Analytics (d/w/m)
44,msg,Business Consultant Data Architecture und Data Analysis Supply Solutions (m/w/d)
